Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2,Temperature (°C) Run 2,Date and Time Run 3,Time (s) Run 3,Temperature (°C) Run 3,Temperature (°C) Run 3
11/18/2019 08:27:10 am,0.000,22.6,22.7,11/18/2019 08:27:27 am,0.000,22.8,21.7,11/18/2019 08:40:30 am,0.000,85.6,21.8
11/18/2019 08:27:10 am,0.100,22.6,22.7,11/18/2019 08:27:27 am,0.100,22.8,21.7,11/18/2019 08:40:30 am,0.100,85.7,21.8
11/18/2019 08:27:10 am,0.200,22.6,22.6,11/18/2019 08:27:27 am,0.200,22.8,21.7,11/18/2019 08:40:30 am,0.200,85.7,21.8
11/18/2019 08:27:10 am,0.300,22.6,22.6,11/18/2019 08:27:27 am,0.300,22.8,21.7,11/18/2019 08:40:30 am,0.300,85.8,21.8
11/18/2019 08:27:10 am,0.400,22.7,22.6,11/18/2019 08:27:27 am,0.400,22.8,21.7,11/18/2019 08:40:30 am,0.400,85.9,21.8
11/18/2019 08:27:10 am,0.500,22.7,22.6,11/18/2019 08:27:27 am,0.500,22.8,21.6,11/18/2019 08:40:30 am,0.500,85.9,21.8
11/18/2019 08:27:10 am,0.600,22.7,22.6,11/18/2019 08:27:27 am,0.600,22.8,21.6,11/18/2019 08:40:30 am,0.600,85.9,21.8
11/18/2019 08:27:10 am,0.700,22.7,22.6,,,,,11/18/2019 08:40:30 am,0.700,86.0,21.8
11/18/2019 08:27:10 am,0.800,22.7,22.6,,,,,11/18/2019 08:40:30 am,0.800,86.0,21.8
11/18/2019 08:27:10 am,0.900,22.7,22.6,,,,,11/18/2019 08:40:30 am,0.900,86.0,21.8
11/18/2019 08:27:11 am,1.000,22.7,22.6,,,,,11/18/2019 08:40:31 am,1.000,86.1,21.8
11/18/2019 08:27:11 am,1.100,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.100,86.1,21.8
11/18/2019 08:27:11 am,1.200,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.200,86.1,21.8
11/18/2019 08:27:11 am,1.300,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.300,86.2,21.8
11/18/2019 08:27:11 am,1.400,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.400,86.2,21.8
11/18/2019 08:27:11 am,1.500,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.500,86.2,21.8
11/18/2019 08:27:11 am,1.600,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.600,86.2,21.8
11/18/2019 08:27:11 am,1.700,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.700,86.2,21.8
11/18/2019 08:27:11 am,1.800,22.7,22.5,,,,,11/18/2019 08:40:31 am,1.800,86.3,21.8
11/18/2019 08:27:11 am,1.900,22.8,22.5,,,,,11/18/2019 08:40:31 am,1.900,86.3,21.8
11/18/2019 08:27:12 am,2.000,22.8,22.5,,,,,11/18/2019 08:40:32 am,2.000,86.4,21.8
11/18/2019 08:27:12 am,2.100,22.9,22.5,,,,,11/18/2019 08:40:32 am,2.100,86.4,21.8
11/18/2019 08:27:12 am,2.200,23.0,22.5,,,,,11/18/2019 08:40:32 am,2.200,86.5,21.8
11/18/2019 08:27:12 am,2.300,23.0,22.4,,,,,11/18/2019 08:40:32 am,2.300,86.5,21.8
11/18/2019 08:27:12 am,2.400,23.1,22.4,,,,,11/18/2019 08:40:32 am,2.400,86.5,21.8
11/18/2019 08:27:12 am,2.500,23.2,22.4,,,,,11/18/2019 08:40:32 am,2.500,86.5,21.8
11/18/2019 08:27:12 am,2.600,23.2,22.4,,,,,11/18/2019 08:40:32 am,2.600,86.5,21.8
11/18/2019 08:27:12 am,2.700,23.3,22.4,,,,,11/18/2019 08:40:32 am,2.700,86.5,21.8
11/18/2019 08:27:12 am,2.800,23.4,22.4,,,,,11/18/2019 08:40:32 am,2.800,86.5,21.8
11/18/2019 08:27:12 am,2.900,23.4,22.4,,,,,11/18/2019 08:40:32 am,2.900,86.4,21.8
11/18/2019 08:27:13 am,3.000,23.5,22.4,,,,,11/18/2019 08:40:33 am,3.000,86.4,21.8
11/18/2019 08:27:13 am,3.100,23.5,22.4,,,,,11/18/2019 08:40:33 am,3.100,86.4,21.8
11/18/2019 08:27:13 am,3.200,23.6,22.4,,,,,11/18/2019 08:40:33 am,3.200,86.4,21.8
11/18/2019 08:27:13 am,3.300,23.7,22.4,,,,,11/18/2019 08:40:33 am,3.300,86.4,21.8
11/18/2019 08:27:13 am,3.400,23.8,22.3,,,,,11/18/2019 08:40:33 am,3.400,86.3,21.8
11/18/2019 08:27:13 am,3.500,23.8,22.3,,,,,11/18/2019 08:40:33 am,3.500,86.2,21.8
