Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Temperature (°C) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2,Temperature (°C) Run 2,Temperature (°C) Run 2,Date and Time Run 3,Time (s) Run 3,Temperature (°C) Run 3,Temperature (°C) Run 3,Temperature (°C) Run 3,Date and Time Run 4,Time (s) Run 4,Temperature (°C) Run 4,Temperature (°C) Run 4,Temperature (°C) Run 4,Date and Time Run 5,Time (s) Run 5,Temperature (°C) Run 5,Temperature (°C) Run 5,Temperature (°C) Run 5,Date and Time Run 6,Time (s) Run 6,Temperature (°C) Run 6,Temperature (°C) Run 6,Temperature (°C) Run 6
11/21/2019 08:18:00 am,0.000,20.3,20.3,19.1,,,,,,11/21/2019 08:19:35 am,0.000,20.3,20.4,20.3,11/21/2019 08:36:47 am,0.000,18.3,83.1,20.2,11/21/2019 08:43:57 am,0.000,78.3,77.0,80.6,11/21/2019 08:45:01 am,0.000,22.1,75.6,79.7
11/21/2019 08:18:00 am,0.100,20.3,20.3,19.0,,,,,,11/21/2019 08:19:35 am,0.100,20.4,20.4,20.3,11/21/2019 08:36:48 am,1.000,18.3,85.5,20.2,11/21/2019 08:43:58 am,1.000,74.5,77.0,80.6,11/21/2019 08:45:02 am,1.000,21.3,75.6,79.7
11/21/2019 08:18:00 am,0.200,20.3,20.3,19.0,,,,,,11/21/2019 08:19:35 am,0.200,20.4,20.4,20.3,11/21/2019 08:36:49 am,2.000,18.3,87.1,20.2,11/21/2019 08:43:59 am,2.000,64.5,76.9,80.6,11/21/2019 08:45:03 am,2.000,20.9,75.6,79.7
11/21/2019 08:18:00 am,0.300,20.3,20.3,19.0,,,,,,11/21/2019 08:19:35 am,0.300,20.4,20.4,20.3,11/21/2019 08:36:50 am,3.000,18.3,87.9,20.2,11/21/2019 08:44:00 am,3.000,57.3,76.9,80.6,11/21/2019 08:45:04 am,3.000,20.6,75.6,79.7
11/21/2019 08:18:00 am,0.400,20.3,20.3,19.0,,,,,,11/21/2019 08:19:35 am,0.400,20.4,20.4,20.3,11/21/2019 08:36:51 am,4.000,18.3,88.6,20.2,11/21/2019 08:44:01 am,4.000,52.6,76.8,80.5,11/21/2019 08:45:05 am,4.000,20.4,75.6,79.7
11/21/2019 08:18:00 am,0.500,20.3,20.3,19.0,,,,,,11/21/2019 08:19:35 am,0.500,20.4,20.4,20.3,11/21/2019 08:36:52 am,5.000,18.3,89.0,20.2,11/21/2019 08:44:02 am,5.000,49.0,76.8,80.5,11/21/2019 08:45:06 am,5.000,20.3,75.6,79.7
11/21/2019 08:18:00 am,0.600,20.3,20.3,19.1,,,,,,11/21/2019 08:19:35 am,0.600,20.4,20.4,20.3,11/21/2019 08:36:53 am,6.000,18.3,89.3,20.2,11/21/2019 08:44:03 am,6.000,46.1,76.8,80.5,11/21/2019 08:45:07 am,6.000,20.2,75.5,79.7
11/21/2019 08:18:00 am,0.700,20.3,20.3,19.1,,,,,,11/21/2019 08:19:35 am,0.700,20.4,20.4,20.3,11/21/2019 08:36:54 am,7.000,18.3,89.4,20.2,,,,,,11/21/2019 08:45:08 am,7.000,20.2,75.5,79.7
11/21/2019 08:18:00 am,0.800,20.3,20.3,19.1,,,,,,11/21/2019 08:19:35 am,0.800,20.4,20.4,20.3,11/21/2019 08:36:55 am,8.000,18.3,89.6,20.2,,,,,,11/21/2019 08:45:09 am,8.000,20.1,75.2,79.7
11/21/2019 08:18:00 am,0.900,20.3,20.3,19.1,,,,,,11/21/2019 08:19:35 am,0.900,20.5,20.4,20.3,11/21/2019 08:36:56 am,9.000,18.3,89.8,20.2,,,,,,11/21/2019 08:45:10 am,9.000,20.1,69.0,79.7
11/21/2019 08:18:01 am,1.000,20.3,20.3,19.1,,,,,,11/21/2019 08:19:36 am,1.000,20.6,20.4,20.3,11/21/2019 08:36:57 am,10.000,18.3,89.9,20.2,,,,,,11/21/2019 08:45:11 am,10.000,20.0,61.0,79.6
